Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
Perna de carneiro gorda crua,276,"22,2",0,0,"19,1"
Perna de carneiro magra crua,130,"5,6",0,0,"19,8"
Costeleta ou perna de borrego cozida ,157,"5,7",0,0,"26,5"
Peito de carneiro gordo cozido,333,"26,6",0,0,"23,3"
Pá de carneiro cozida,238,"14,2",0,0,"27,6"
"Costeleta ou perna de borrego estufada, sem molho",185,"9,2",0,0,"25,5"
"Perna de carneiro gorda estufada, sem molho",339,"25,9",0,0,"26,5"
"Pá de carneiro estufada, sem molho",238,"14,2",0,0,"27,6"
"Perna de carneiro magra estufada, sem molho",195,"10,3",0,0,"25,6"
Perna de carneiro magra estufada com margarina,193,"12,5","1,7","0,6","17,4"
Perna de carneiro magra estufada com azeite e margarina,201,"13,4","1,7","0,6","17,4"
Costeleta ou perna de borrego estufada com azeite e margarina,183,"12,0","1,6","0,6","16,2"
Costeleta ou perna de borrego estufada com margarina,175,"11,1","1,6","0,6","16,2"
Costeleta ou perna de borrego grelhada,152,"5,5",0,0,"25,7"
"Perna de carneiro magra assada, sem molho",178,"9,0",0,0,"24,2"
"Perna de carneiro gorda assada, sem molho",285,"20,9",0,0,"24,3"
"Costeleta ou perna de borrego assada, sem molho",168,"8,0",0,0,"24,1"
"Pá de carneiro assada, sem molho",202,"11,3",0,0,"25,1"
Pá de carneiro assada com margarina,310,"23,6",0,0,"24,3"
Pá de carneiro assada com azeite e margarina,319,"24,6",0,0,"24,3"
Perna de carneiro magra assada com margarina,232,"15,3",0,0,"23,5"
Perna de carneiro magra assada com azeite e margarina,242,"16,4",0,0,"23,5"
Costeleta ou perna de borrego assada com azeite e margarina,234,"15,6",0,0,"23,3"
Costeleta ou perna de borrego assada com margarina,224,"14,5",0,0,"23,3"
"Costeleta ou perna de borrego frita com margarina, sem molho",166,"7,6",0,0,"24,5"
"Costeleta ou perna de carneiro magra frita com margarina, sem molho",174,"8,4",0,0,"24,7"
Costeleta de cabrito crua,120,"2,7",0,0,"23,9"
Peito de cabrito cru,116,"3,8",0,0,"20,5"
Perna de cabrito crua,113,"4,0",0,0,"19,3"
"Peito de cabrito estufado, sem molho",153,"4,4",0,0,"28,4"
Peito de cabrito estufado com manteiga e óleo alimentar,173,"8,4","0,8","0,3","23,3"
Peito de cabrito estufado com margarina e óleo alimentar,173,"8,4","0,8","0,3","23,3"
Peito de cabrito estufado com azeite e margarina,173,"8,4","0,8","0,3","23,3"
Peito de cabrito estufado com azeite e óleo alimentar,176,"8,8","0,7","0,3","23,3"
Caldeirada de cabrito com azeite e banha,119,"4,3","8,3","0,9","11,3"
Caldeirada de cabrito com azeite e margarina,116,"4,0","8,3","0,9","11,3"
Costeleta de cabrito grelhada,151,"3,0",0,0,"30,9"
Peito de cabrito grelhado,144,"4,2",0,0,"26,5"
Perna de cabrito assada com óleo alimentar e margarina,180,"10,0","0,2",0,"21,7"
"Perna de cabrito assada, sem molho",135,"4,2",0,0,"24,3"
Perna de cabrito assada com azeite e margarina,180,"10,0","0,2",0,"21,7"
"Bife de cavalo, alcatra crua",116,"3,5",0,0,"21,1"
Lombo ou pá de cavalo cru,99,"2,3",0,0,"19,6"
"Bife de cavalo, alcatra frita, sem molho",147,"5,4",0,0,"24,7"
"Bife de cavalo, alcatra frita com manteiga",177,"9,3",0,0,"23,3"
"Bife de cavalo, alcatra frita com margarina",176,"9,2",0,0,"23,3"
Lombo ou pá de cavalo frito com manteiga,158,"8,0",0,0,"21,6"
Lombo ou pá de cavalo frito com margarina,157,"7,8",0,0,"21,6"
"Lombo ou pá de cavalo assado, sem molho",136,"4,3",0,0,"24,2"
Lombo ou pá de cavalo assado com margarina,161,"7,3","0,1",0,"22,7"
Lombo ou pá de cavalo assado com azeite e manteiga,167,"8,0","0,1",0,"22,7"
